PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=85 ttl=64 time=0.059 ms
64 bytes from 10.0.0.1: icmp_seq=86 ttl=64 time=0.070 ms
64 bytes from 10.0.0.1: icmp_seq=87 ttl=64 time=0.071 ms
64 bytes from 10.0.0.1: icmp_seq=88 ttl=64 time=0.064 ms
64 bytes from 10.0.0.1: icmp_seq=89 ttl=64 time=0.073 ms
64 bytes from 10.0.0.1: icmp_seq=90 ttl=64 time=0.080 ms
64 bytes from 10.0.0.1: icmp_seq=91 ttl=64 time=0.070 ms
64 bytes from 10.0.0.1: icmp_seq=92 ttl=64 time=0.070 ms
64 bytes from 10.0.0.1: icmp_seq=93 ttl=64 time=0.076 ms
64 bytes from 10.0.0.1: icmp_seq=94 ttl=64 time=0.076 ms
64 bytes from 10.0.0.1: icmp_seq=95 ttl=64 time=0.082 ms
64 bytes from 10.0.0.1: icmp_seq=96 ttl=64 time=0.080 ms
64 bytes from 10.0.0.1: icmp_seq=97 ttl=64 time=0.077 ms
64 bytes from 10.0.0.1: icmp_seq=98 ttl=64 time=0.077 ms
64 bytes from 10.0.0.1: icmp_seq=99 ttl=64 time=0.075 ms
64 bytes from 10.0.0.1: icmp_seq=100 ttl=64 time=0.087 ms
64 bytes from 10.0.0.1: icmp_seq=101 ttl=64 time=0.068 ms
64 bytes from 10.0.0.1: icmp_seq=102 ttl=64 time=0.077 ms
64 bytes from 10.0.0.1: icmp_seq=103 ttl=64 time=0.074 ms
64 bytes from 10.0.0.1: icmp_seq=104 ttl=64 time=0.078 ms

--- 10.0.0.1 ping statistics ---
104 packets transmitted, 103 received, 0.961538% packet loss, time 104199ms
rtt min/avg/max/mdev = 0.056/855.075/2804.799/990.488 ms, pipe 3
